Time (in seconds),Validator,CPU Used
1,Validator,4.19
2,Validator,0.80
3,Validator,2.74
4,Validator,2.00
5,Validator,1.00
6,Validator,0.33
7,Validator,1.80
8,Validator,0.54
9,Validator,1.19
10,Validator,0.75
11,Validator,2.44
12,Validator,0.47
13,Validator,0.33
14,Validator,1.27
15,Validator,0.37
16,Validator,0.22
17,Validator,0.43
18,Validator,0.52
19,Validator,0.12
20,Validator,7.18
21,Validator,0.74
22,Validator,2.93
23,Validator,2.53
24,Validator,4.15
25,Validator,0.60
26,Validator,3.89
27,Validator,0.99
28,Validator,2.80
29,Validator,0.45
30,Validator,2.65
31,Validator,0.08
32,Validator,1.67
33,Validator,0.45
34,Validator,0.08
35,Validator,0.45
36,Validator,0.57
37,Validator,0.47
38,Validator,0.64
39,Validator,0.49
40,Validator,0.47
41,Validator,0.62
42,Validator,2.08
43,Validator,3.46
44,Validator,0.05
45,Validator,6.12
46,Validator,1.91
47,Validator,3.14
48,Validator,2.05
49,Validator,8.77
50,Validator,0.44
51,Validator,4.70
52,Validator,0.37
53,Validator,0.54
54,Validator,0.55
55,Validator,1.85
56,Validator,0.10
57,Validator,0.65
58,Validator,0.45
59,Validator,0.85
60,Validator,0.48
61,Validator,0.89
62,Validator,0.36
63,Validator,0.16
64,Validator,2.02
65,Validator,0.36
66,Validator,1.19
67,Validator,0.86
68,Validator,6.19
69,Validator,0.48
70,Validator,4.56
71,Validator,0.61
72,Validator,3.36
73,Validator,1.85
74,Validator,4.60
75,Validator,0.05
76,Validator,4.02
77,Validator,0.65
78,Validator,0.55
79,Validator,1.15
80,Validator,1.65
81,Validator,0.07
82,Validator,1.38
83,Validator,1.05
84,Validator,0.28
85,Validator,1.45
86,Validator,1.52
87,Validator,0.94
88,Validator,8.73
89,Validator,1.72
90,Validator,0.05
91,Validator,2.34
92,Validator,1.92
93,Validator,3.45
94,Validator,0.05
95,Validator,4.94
96,Validator,0.13
97,Validator,4.33
98,Validator,0.63
99,Validator,3.01
100,Validator,0.49
101,Validator,2.56
102,Validator,1.36
103,Validator,0.29
104,Validator,1.71
105,Validator,1.42
106,Validator,0.97
107,Validator,1.34
108,Validator,1.39
109,Validator,0.43
110,Validator,1.22
111,Validator,0.91
112,Validator,0.22
113,Validator,1.00
114,Validator,3.73
115,Validator,0.03
116,Validator,3.32
117,Validator,1.32
118,Validator,3.30
119,Validator,0.77
120,Validator,5.46
121,Validator,0.14
122,Validator,3.00
123,Validator,3.04
