Transaction Number,CosmWasm (Tendermint),Hyperledger Besu (IBFT2),Ethereum (PoW)
1,5.35,5.57,6.94
2,5.43,4.95,12.17
3,5.35,4.69,36.12
4,5.45,4.8,4.19
5,5.4,5.68,7.29
6,5.43,4.74,37.23
7,5.4,4.63,37.26
8,5.44,5.52,20.22
9,5.36,4.48,18.89
10,5.51,5.48,23.07
11,5.44,4.47,18.99
12,5.38,5.49,25.16
13,5.57,4.46,6.08
14,5.6,5.56,56.18
15,5.44,4.47,17.07
16,5.35,5.57,36.1
17,5.38,4.48,4.11
18,5.32,5.57,44.06
19,5.33,4.61,19.08
20,5.4,4.56,5.15
21,5.35,5.57,2.95
22,5.42,4.67,20.99
23,5.37,5.59,9.1
24,5.43,4.52,28
25,5.41,5.5,8.94
26,5.46,4.59,12.95
27,5.4,5.46,19.02
28,5.39,4.52,10.04
29,5.46,5.49,72.16
30,5.43,4.64,19.95
31,5.33,4.58,9.91
32,5.35,5.64,20.16
33,5.38,4.63,9.98
34,5.31,5.48,16.18
35,5.53,4.59,16.21
36,5.36,5.49,7.93
37,5.41,4.8,4.01
38,5.36,4.55,8.99
39,5.34,5.56,9.99
40,5.37,4.54,17.01
41,5.43,5.47,36.09
42,5.46,4.64,10.16
43,5.61,4.51,8.14
44,5.45,5.54,8.92
45,5.38,4.51,8.05
46,5.35,5.53,12.08
47,5.33,4.54,4.13
48,5.33,5.5,17.07
49,5.36,4.47,19.05
50,5.45,5.51,5.03
51,5.45,4.47,11.02
52,5.37,5.68,14.22
53,5.5,4.52,28.05
54,5.39,5.52,22.18
55,5.32,4.61,9.98
56,5.38,4.66,8.97
57,5.45,5.57,26.04
58,5.37,4.58,43.36
59,5.46,5.52,26.05
60,5.44,4.55,31.2
61,5.34,5.54,21.2
62,5.35,4.79,11.02
63,5.53,4.51,19.97
64,5.35,5.64,43.15
65,5.36,4.62,6.03
66,5.3,5.56,10.89
67,5.43,4.61,8.15
68,5.35,4.52,15.99
69,5.35,5.51,8.04
70,5.34,4.47,8.9
71,5.55,5.52,7.94
72,5.36,4.53,5.99
73,5.39,5.54,44.11
74,5.47,4.58,46.38
75,5.32,5.57,21.09
76,5.43,4.59,19.94
77,5.37,5.51,3.94
78,5.34,4.62,22.43
79,5.33,5.47,7.99
80,5.43,4.66,23.05
81,5.36,4.49,64.22
82,5.43,5.5,3.89
83,5.45,4.49,17.94
84,5.35,5.73,25.18
85,5.34,4.49,23.22
86,5.37,4.72,28.05
87,5.48,5.52,3.96
88,5.36,4.65,34.04
89,5.33,5.5,16.98
90,5.35,4.56,10.92
91,5.33,5.48,10.19
92,5.35,4.5,19.08
93,5.34,5.55,20.89
94,5.45,4.53,14.89
95,5.34,5.53,8.97
96,5.35,4.55,9.91
97,5.44,5.51,8.93
98,5.39,4.57,7.98
99,5.39,5.48,18.97
100,5.47,4.61,12.02
101,5.45,4.48,5.91
102,5.43,5.57,6.1
103,5.53,4.46,16.16
104,5.36,5.51,7.95
105,5.34,5.45,16.23
106,5.35,4.54,14.28
107,5.35,4.46,5.06
108,5.55,5.56,4.86
109,5.44,4.48,33.98
110,5.36,5.58,9.15
111,5.56,4.56,14.97
112,5.34,5.58,15.02
113,5.35,4.56,4.99
114,5.37,5.55,4.97
115,5.33,4.64,9.05
116,5.35,4.6,48.21
117,5.36,5.54,16.99
118,5.32,4.5,24.11
119,5.37,5.47,4.99
120,5.43,4.66,39.09
121,5.45,5.47,9.1
122,5.35,4.57,26.98
123,5.33,5.45,28.49
124,5.45,4.51,17.14
125,5.37,5.49,14.98
126,5.54,4.54,11.96
127,5.38,5.5,8.12
128,5.55,4.54,23.01
129,5.33,5.5,8.96
130,5.35,4.56,7.09
131,5.47,5.49,3.91
132,5.45,4.63,5.95
133,5.35,4.46,40.12
134,5.46,5.55,15.99
135,5.36,4.52,50.04
136,5.51,5.5,5.94
137,5.44,4.5,19.94
138,5.33,5.5,43.17
139,5.45,4.45,38.84
140,5.34,5.67,36.3
141,5.36,4.46,15.01
142,5.37,5.48,22.19
143,5.43,4.61,20.97
144,5.34,5.72,4.94
145,5.44,4.65,45.1
146,5.45,4.64,16.02
147,5.34,5.53,23.03
148,5.35,4.61,15.97
149,5.38,5.56,71.16
150,5.44,4.64,15.03
151,5.52,4.5,8.09
152,5.54,5.6,15.11
153,5.34,4.57,11.98
154,5.4,5.51,31.09
155,5.33,4.49,14.96
156,5.33,5.48,34.05
157,5.36,4.52,36.45
158,5.39,5.49,21.26
159,5.48,4.47,36.22
160,5.53,5.47,10
161,5.34,4.56,6.11
162,5.38,5.48,17.02
163,5.47,4.46,21.01
164,5.47,5.5,9.92
165,5.54,4.48,12.94
166,5.35,5.52,14.14
