Seconds,Validator 1,Validator 2,Validator 3,Validator 4
1,594,608,586,511
2,595,608,586,511
3,594,607,586,511
4,594,607,586,511
5,594,607,586,511
6,594,608,586,511
7,594,608,586,511
8,594,608,586,511
9,594,608,586,511
10,594,608,586,511
11,594,608,586,511
12,594,608,586,512
13,594,608,586,512
14,594,608,586,512
15,595,608,586,512
16,595,608,586,512
17,595,608,587,512
18,595,608,587,512
19,595,608,587,512
20,595,608,587,521
21,595,608,587,521
22,595,608,587,521
23,595,608,587,521
24,595,608,587,521
25,595,608,587,521
26,593,608,586,521
27,594,608,586,521
28,592,608,583,521
29,592,608,583,521
30,594,608,612,521
31,592,608,612,521
32,592,608,613,521
33,593,608,613,521
34,611,606,613,521
35,611,606,610,521
36,611,606,610,522
37,611,606,610,522
38,611,606,614,522
39,611,606,614,522
40,611,607,614,522
41,611,607,614,522
42,611,607,615,522
43,611,607,615,522
44,608,606,612,522
45,608,606,612,522
46,608,606,612,522
47,608,607,612,522
48,608,607,612,522
49,609,607,612,522
50,609,607,612,522
51,609,607,612,522
52,609,607,612,522
53,609,607,612,522
54,609,607,612,522
55,609,607,613,522
56,609,607,613,522
57,609,607,613,522
58,610,607,613,522
59,605,603,610,521
60,605,603,610,521
61,605,603,610,521
62,605,603,610,521
63,605,603,610,521
64,605,603,611,521
65,605,603,611,521
66,605,603,615,521
67,605,603,615,521
68,605,604,615,521
69,605,604,615,521
70,605,604,615,521
71,605,604,615,524
72,605,604,616,521
73,605,604,616,521
74,606,604,616,521
75,605,604,616,522
76,606,604,616,522
77,606,604,616,522
78,606,604,616,522
79,606,604,616,522
80,606,604,616,522
81,607,604,616,522
82,607,604,616,522
83,607,605,616,522
84,607,605,616,522
85,607,605,616,522
86,607,605,617,522
87,607,605,616,522
88,607,605,616,522
89,607,605,616,522
90,607,605,616,522
91,604,602,614,521
92,601,600,612,523
93,601,600,612,523
94,601,600,612,524
95,601,600,612,524
96,601,600,613,524
97,601,600,613,524
98,601,601,613,524
99,601,601,613,524
100,602,601,613,524
101,602,601,613,524
102,602,601,613,524
103,602,601,613,524
104,602,601,613,524
105,602,601,613,524
106,602,601,613,524
107,602,601,613,524
108,602,601,613,524
109,602,601,613,524
110,602,601,613,524
111,602,601,613,524
112,602,601,613,524
113,602,601,613,525
114,602,601,613,525
115,602,601,613,525
116,603,601,613,525
117,603,601,613,525
118,603,601,613,525
119,603,601,613,525
120,603,601,613,525
121,603,601,613,525
122,603,601,613,525
123,603,601,613,525
124,600,599,611,524
125,601,599,611,524
126,601,599,611,524
127,601,599,611,524
128,601,599,611,524
129,601,599,611,524
130,601,599,611,524
131,601,599,611,524
132,601,599,611,524
133,601,599,611,524
134,601,599,611,524
135,601,599,612,524
136,601,599,612,525
137,601,599,612,525
138,601,599,612,525
139,601,599,612,525
140,601,599,612,525
141,601,599,612,525
142,601,599,612,525
143,601,599,612,525
144,601,599,612,525
145,602,599,612,525
146,602,600,612,525
147,602,602,612,525
148,602,600,612,525
149,602,600,612,525
150,602,600,612,525
151,604,600,612,525
152,602,600,612,525
153,602,600,612,525
154,602,600,612,525
155,603,600,612,525
156,603,600,612,525
157,603,600,612,526
158,601,598,611,525
159,601,598,611,525
160,601,598,611,525
161,601,598,611,525
162,601,598,611,525
163,601,598,611,525
164,601,598,611,525
165,601,598,611,525
166,602,598,611,525
167,602,598,611,525
168,602,598,611,525
169,602,598,611,525
170,602,598,611,525
171,602,598,611,525
172,602,598,611,525
173,602,598,611,525
174,602,598,611,525
175,602,598,611,525
176,602,598,611,525
177,602,598,611,525
178,602,598,611,525
179,602,598,611,525
180,602,598,611,525
181,602,598,611,525
182,602,598,611,525
183,602,598,611,525
184,602,598,611,525
185,602,598,611,525
186,602,598,611,525
187,602,598,611,525
188,602,598,611,525
189,602,598,611,526
190,602,598,611,526
191,600,597,610,525
192,600,597,610,525
193,600,597,610,525
194,600,597,610,525
195,600,597,610,525
196,600,597,610,525
197,600,597,611,525
198,600,597,611,525
199,600,597,611,525
200,600,597,611,525
201,600,597,611,525
202,601,597,617,525
203,601,597,617,525
204,601,597,617,525
205,601,597,617,525
206,601,598,617,525
207,601,598,617,525
208,601,598,617,525
209,601,598,617,525
210,602,598,617,526
211,601,598,617,526
212,601,598,617,526
213,601,598,617,526
214,601,598,617,526
215,601,598,617,526
216,601,598,617,526
217,601,598,617,526
218,601,598,617,526
219,601,598,617,526
220,601,600,617,526
221,601,598,617,526
222,601,598,617,526
223,601,598,617,526
224,599,593,614,524
225,599,593,614,524
226,599,593,614,524
227,599,593,614,524
228,599,594,614,524
229,599,594,614,524
230,599,594,614,525
231,599,594,614,525
232,599,594,614,525
233,600,594,615,525
234,600,594,615,525
235,600,594,615,525
236,600,594,615,525
237,600,594,615,525
238,600,594,615,525
239,601,594,615,525
240,601,594,615,525
241,601,594,615,525
242,601,594,615,525
243,601,594,615,525
244,601,594,615,525
245,601,594,615,525
246,601,594,615,525
247,601,594,616,525
248,601,594,616,525
249,601,594,616,525
250,601,594,616,525
251,601,594,616,526
252,601,595,616,526
253,601,595,616,526
254,601,595,616,526
255,601,595,616,526
256,601,595,616,526
257,598,592,611,524
258,598,592,611,524
259,598,592,611,524
260,598,592,611,524
261,598,592,611,524
262,598,592,611,524
263,598,592,611,524
264,598,592,611,524
265,598,592,611,524
266,599,592,611,524
267,598,592,611,524
268,598,592,611,524
269,598,592,611,524
270,598,592,611,524
271,598,592,613,524
272,598,592,613,524
273,598,592,613,524
274,598,592,613,524
275,598,592,613,524
276,598,592,613,525
277,598,592,613,525
278,598,592,613,525
279,598,592,613,525
280,598,592,613,525
281,598,592,613,525
282,598,592,613,525
283,598,592,613,525
284,598,592,613,525
285,598,592,613,525
286,598,592,613,525
287,598,592,613,525
288,598,592,613,525
289,598,592,613,525
290,597,592,612,525
291,597,592,612,524
292,597,592,612,524
293,597,592,612,524
294,597,592,612,524
295,597,592,612,524
296,597,592,612,524
297,597,592,612,524
298,597,592,612,524
299,597,592,612,524
300,597,592,612,527
301,597,592,612,527
302,597,592,612,527
303,598,592,612,527
304,598,592,612,527
305,598,592,612,527
306,598,592,612,527
307,598,592,612,527
308,598,592,613,527
309,598,592,613,527
310,598,592,613,527
311,598,592,613,527
312,598,592,613,527
313,598,592,613,527
314,598,592,613,527
315,598,592,613,527
316,598,592,613,527
317,598,592,613,527
318,598,592,613,527
319,598,592,613,527
320,598,592,613,527
321,598,592,613,527
322,598,592,613,527
323,595,590,613,527
324,595,590,610,527
325,597,590,610,527
326,595,590,610,527
327,595,590,610,528
328,595,590,610,528
329,595,590,610,528
330,595,590,610,528
331,595,590,610,528
332,595,590,610,528
333,595,590,610,528
334,595,590,610,528
335,595,590,610,528
336,595,590,610,528
337,595,590,610,528
338,595,590,610,528
339,596,590,610,528
340,596,590,610,528
341,596,590,610,528
342,596,590,610,528
343,596,590,612,528
344,596,590,610,528
345,596,590,610,528
346,596,590,610,528
347,596,591,611,528
348,596,591,611,528
349,596,591,611,528
350,596,591,611,528
351,596,591,611,528
352,596,591,611,528
353,596,591,611,528
354,596,591,611,528
355,596,591,611,528
356,595,590,609,528
357,595,590,609,528
358,595,590,609,529
359,595,590,609,529
360,595,590,609,529
361,595,590,609,529
362,595,590,609,529
363,595,590,609,529
364,595,590,609,529
365,595,590,609,529
366,595,590,609,529
367,595,590,609,529
368,595,590,610,529
369,595,590,610,529
370,595,590,610,529
371,595,590,610,529
372,595,590,610,529
373,595,590,610,529
374,595,590,610,529
375,595,590,610,529
376,595,590,610,529
377,595,590,610,529
378,595,590,610,529
379,595,590,610,529
380,595,590,610,529
381,595,590,610,529
382,595,590,610,529
383,595,590,610,529
384,595,590,610,529
385,595,590,610,529
386,595,590,610,529
387,595,590,610,529
388,595,590,610,529
389,595,590,610,529
390,592,587,607,527
391,592,587,607,527
392,592,587,607,527
393,593,587,607,527
394,596,587,607,527
395,596,587,607,527
396,596,587,607,527
397,596,587,607,527
398,596,587,607,527
399,596,587,607,527
400,596,587,607,527
401,596,587,607,527
402,596,587,607,527
403,596,587,607,527
404,596,587,607,527
405,596,587,607,527
406,596,587,608,527
407,596,587,607,527
408,597,587,607,527
409,597,588,607,527
410,597,588,607,527
411,597,588,607,527
412,597,588,607,527
413,597,588,607,527
414,597,588,607,527
415,597,588,607,528
416,597,588,607,528
417,597,588,607,528
418,597,588,607,528
419,597,588,607,528
420,597,588,609,528
421,597,588,607,528
422,597,588,607,528
423,595,588,605,526
424,595,588,605,526
425,595,588,605,526
426,595,588,605,526
427,595,588,605,526
428,595,588,605,526
429,595,588,605,526
430,595,588,605,526
431,598,588,605,526
432,598,588,605,526
433,598,588,606,526
434,598,588,606,526
435,598,588,606,526
436,598,588,606,526
437,598,588,606,526
438,598,588,606,526
439,598,588,606,526
440,598,588,606,526
441,598,588,606,526
442,598,588,606,526
443,598,588,606,526
444,598,588,606,526
445,598,588,606,526
446,598,588,606,526
447,598,588,606,526
448,598,588,606,526
449,598,588,606,526
450,598,588,606,526
451,598,588,606,526
452,600,588,606,526
453,598,588,606,526
454,598,588,606,526
455,598,588,606,526
456,597,587,604,526
457,597,587,604,526
458,597,587,604,526
459,597,587,604,526
460,597,587,604,526
461,597,587,604,526
462,597,587,604,526
463,597,587,604,526
464,597,587,604,526
465,597,587,604,526
466,597,587,604,526
467,597,587,604,526
468,597,587,604,526
469,597,587,604,526
470,597,587,604,526
471,597,587,604,526
472,597,587,604,526
473,597,587,604,526
474,597,587,604,526
475,600,587,604,526
476,598,587,604,526
477,598,587,604,526
478,598,587,604,526
479,598,588,604,526
480,598,588,605,526
481,598,588,605,526
482,598,588,605,526
483,598,588,605,526
484,598,588,605,526
485,598,588,605,526
486,598,588,605,526
487,598,588,605,526
488,598,588,605,526
489,598,587,603,526
490,597,587,603,526
491,597,587,603,526
492,597,587,603,526
493,597,587,603,526
494,597,587,603,526
495,597,587,603,526
496,597,587,603,526
497,597,587,603,526
498,597,587,603,526
499,597,587,603,526
500,597,587,603,526
501,597,587,603,526
502,597,587,603,526
503,597,587,603,526
504,597,587,603,526
505,597,587,603,526
506,597,587,603,526
507,597,587,603,526
508,597,587,603,526
509,597,587,603,526
510,598,587,603,526
511,598,587,603,526
512,598,587,603,526
513,598,587,603,526
514,598,587,603,526
515,598,587,603,526
516,598,587,603,526
517,598,587,603,526
518,598,587,603,526
519,598,587,603,526
520,598,587,604,526
521,598,590,603,526
522,598,590,603,526
523,596,589,602,526
524,596,589,602,526
525,596,589,602,526
526,596,589,602,526
527,596,589,602,526
528,596,589,602,526
529,596,589,602,526
530,596,589,602,526
531,596,589,602,526
532,596,589,602,526
533,596,589,602,526
534,596,589,602,526
535,596,589,602,526
536,596,589,602,526
537,596,589,602,526
538,596,589,602,526
539,596,589,602,526
540,596,589,602,526
541,596,589,602,526
542,596,589,602,526
543,596,589,602,526
544,596,589,602,526
545,596,589,602,526
546,596,589,602,526
547,596,589,602,526
548,596,589,602,526
549,596,589,602,526
550,596,589,602,526
551,596,589,602,526
552,596,589,602,526
553,597,589,602,527
