Transaction Number;Ethereum (PoW);Hyperledger Besu (IBFT2);CosmWasm (Tendermint)
1;6.94;2.64;5.35
2;12.17;4.6;5.43
3;36.12;5.11;5.35
4;4.19;5.19;5.45
5;7.29;5.19;5.4
6;37.23;5.98;5.43
7;37.26;4.17;5.4
8;20.22;4.11;5.44
9;18.89;5.66;5.36
10;23.07;4.84;5.51
11;18.99;5.24;5.44
12;25.16;5;5.38
13;6.08;4.35;5.57
14;56.18;5.77;5.6
15;17.07;4.12;5.44
16;36.1;5.78;5.35
17;4.11;4.88;5.38
18;44.06;4.67;5.32
19;19.08;5.56;5.33
20;5.15;4.77;5.4
21;2.95;4.59;5.35
22;20.99;5.84;5.42
23;9.1;4.78;5.37
24;28;4.21;5.43
25;8.94;5.85;5.41
26;12.95;4.73;5.46
27;19.02;5.1;5.4
28;10.04;4.85;5.39
29;72.16;4.31;5.46
30;19.95;5.65;5.43
31;9.91;4.54;5.33
32;20.16;5.63;5.35
33;9.98;4.88;5.38
34;16.18;4.89;5.31
35;16.21;4.69;5.53
36;7.93;5.76;5.36
37;4.01;4.66;5.41
38;8.99;4.52;5.36
39;9.99;5.32;5.34
40;17.01;4.62;5.37
41;36.09;5.97;5.43
42;10.16;4.98;5.46
43;8.14;4.77;5.61
44;8.92;4.39;5.45
45;8.05;4.81;5.38
46;12.08;5.99;5.35
47;4.13;4.49;5.33
48;17.07;4.51;5.33
49;19.05;4.97;5.36
50;5.03;5.7;5.45
51;11.02;4.75;5.45
52;14.22;4.62;5.37
53;28.05;5.68;5.5
54;22.18;4.75;5.39
55;9.98;4.63;5.32
56;8.97;5.8;5.38
57;26.04;4.73;5.45
58;43.36;5.11;5.37
59;26.05;4.76;5.46
60;31.2;4.66;5.44
61;21.2;4.85;5.34
62;11.02;5.04;5.35
63;19.97;4.99;5.53
64;43.15;5.9;5.35
65;6.03;4.9;5.36
66;10.89;4.11;5.3
67;8.15;5.87;5.43
68;15.99;4.76;5.35
69;8.04;4.63;5.35
70;8.9;5.8;5.34
71;7.94;4.66;5.55
72;5.99;4.85;5.36
73;44.11;5.05;5.39
74;46.38;4.55;5.47
75;21.09;6.7;5.32
76;19.94;3.89;5.43
77;3.94;4.7;5.37
78;22.43;4.57;5.34
79;7.99;5.75;5.33
80;23.05;4.79;5.43
81;64.22;4.63;5.36
82;3.89;5.81;5.43
83;17.94;4.95;5.45
84;25.18;4.65;5.35
85;23.22;4.58;5.34
86;28.05;5.85;5.37
87;3.96;4.59;5.48
88;34.04;4.72;5.36
89;16.98;4.8;5.33
90;10.92;5.87;5.35
91;10.19;4.03;5.33
92;19.08;5.85;5.35
93;20.89;4.72;5.34
94;14.89;4.61;5.45
95;8.97;5.57;5.34
96;9.91;4.75;5.35
97;8.93;4.71;5.44
98;7.98;4.91;5.39
99;18.97;5.78;5.39
100;12.02;5.05;5.47
101;5.91;5.02;5.45
102;6.1;5.02;5.43
103;16.16;4.54;5.53
104;7.95;4.59;5.36
105;16.23;5.04;5.34
106;14.28;5.2;5.35
107;5.06;4.8;5.35
108;4.86;4.8;5.55
109;33.98;5.82;5.44
110;9.15;5.19;5.36
111;14.97;4.67;5.56
112;15.02;4.8;5.34
113;4.99;4.58;5.35
114;4.97;5.75;5.37
115;9.05;4.93;5.33
116;48.21;5.81;5.35
117;16.99;3.71;5.36
118;24.11;5.81;5.32
119;4.99;4.98;5.37
120;39.09;4.01;5.43
121;9.1;5.83;5.45
122;26.98;5.23;5.35
123;28.49;4.7;5.33
124;17.14;4.78;5.45
125;14.98;4.78;5.37
126;11.96;8.82;5.54
127;8.12;1.61;5.38
128;23.01;4.72;5.55
129;8.96;4.67;5.33
130;7.09;5.85;5.35
131;3.91;4.84;5.47
132;5.95;5.06;5.45
133;40.12;4.81;5.35
134;15.99;4.77;5.46
135;50.04;4.94;5.36
136;5.94;4.79;5.51
137;19.94;5.75;5.44
138;43.17;4.19;5.33
139;38.84;5.66;5.45
140;36.3;4.94;5.34
141;15.01;4.73;5.36
142;22.19;4.55;5.37
143;20.97;5.68;5.43
144;4.94;4.74;5.34
145;45.1;4.73;5.44
146;16.02;5.74;5.45
147;23.03;5.06;5.34
148;15.97;5.05;5.35
149;71.16;5;5.38
150;15.03;4.02;5.44
151;8.09;5.77;5.52
152;15.11;4.68;5.54
153;11.98;4.68;5.34
154;31.09;5.78;5.4
155;14.96;4.75;5.33
156;34.05;5.07;5.33
157;36.45;5;5.36
158;21.26;4.53;5.39
159;36.22;5.66;5.48
160;10;5.07;5.53
161;6.11;4.91;5.34
162;17.02;4.94;5.38
163;21.01;4.96;5.47
164;9.92;4.93;5.47
165;12.94;4.93;5.54
166;14.14;4.75;5.35
167;24.02;4.61;5.38
168;18.02;5.88;5.36
169;35.1;5.03;5.34
170;61.19;4.88;5.45
171;14.03;5.05;5.36
172;35.2;4.64;5.33
173;5.93;4.53;5.39
174;7.99;5.8;5.4
175;3.97;4.69;5.35
176;13.04;5.27;5.33
177;11.23;4.84;5.33
178;50.15;5.13;5.37
179;16.07;4.69;5.44
180;3.92;4.75;5.46
181;44.39;4.79;5.35
182;4.39;5.74;5.33
183;9.97;4.6;5.45
184;9.94;4.71;5.38
185;21.96;5.61;5.4
186;3.93;5.27;5.43
187;6.09;4.82;5.31
188;7.96;4.61;5.47
